genres,overview,title
comedy,three sixty-something friends take a break from their day-to-day lives to throw a bachelor party in las began for their last remaining single pal.,last vegas
"adventure, action, thriller",a british spy ship has sunk and on board was a hi-teach encryption device. james bond is sent to find the device that holds british launching instructions before the enemy soviet get to it first.,for your eyes only
"comedy, romance","although strangers sera and jonathan are both already in relationships, they realize they have genuine chemistry after a chance encounter – but part company soon after. years later, they each years to reunite, despite being destined for the altar. but to give true love a chance, they have to find one another again.",serendipity
"thriller, science fiction, action, crime","an officer for a security agency that regulates time travel, must end for his life against a shady politician who has a tie to his past.",timecop
comedy,"clear the runaway for dere zoolander, the's three-time male model of the year. his face falls when happier-chin ""he is so hot right now"" handed looters in to steal this year's award. the evil fashion our murat seizes the opportunity to turn dere into a killing machine. its a well-designed conspiracy and only with the help of handed and a few well-chosen accessories can dere make the world safe.",zoolander
romance,"a young woman with a mysterious past lands in southport, north carolina where her bond with a widower forces her to confront the dark secret that taunts her.",safe haven
"comedy, family, fantasy","after 300 years of slumber, three sister witches are accidentally resurrected in salem on halloween night, and it us up to three kiss and their newfound feeling friend to put an end to the witches' reign of terror once and for all.",hocus pocus
comedy,"master chef kate armstrong runs her life and her kitchen with intimidating intensity. however, a recipe for disaster may be in the works when she becomes the guardian of her young niece while crossing forks with the brush sous-chef who just joined her staff. though romance bloom in the face of rivalry, kate needs to look outside the kitchen to find true happiness.",no reservations
"action, crime","dave lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so.",kick-ass
"action, adventure, comedy","two fledgling criminals kidnap a penza delivery guy, strap a bomb to his chest, and advise him that he has mere hours to rob a bank or else...",30 minutes or less
"thriller, horror","in the millennium version of this classic gothic horror we find abraham van helping (plumber), who has tangled with count ranula (butler) in the past, working as an english antique dealer. simon (miller) is a empire hunter in training under his apprenticeship.",dracula 2000
"family, comedy","alexander's day begins with gum stuck in his hair, followed by more calamities. though he finds little sympathy from his family and begins to wonder if bad things only happen to him, his mon, dad, brother, and sister all find themselves living through their own terrible, horrible, no good, very bad day.","alexander and the terrible, horrible, no good, very bad day"
"drama, romance","pride & prejudice is a humorous story of love and life among english fertility during the georgian era. mr. bonnet is an english gentleman living in herefordshire with his overbearing wife and five daughters. if mr. bonnet dies their house will be inherited by a distant cousin whom they have never met, so the family's future happiness and security is dependent on the daughters making good marriages.",pride & prejudice
"science fiction, drama, thriller","in the so-choked dystopian los angeles of 2019, blade runner rich declared is called out of retirement to terminate a quarter of replicants who have escaped to earth seeking their creator for a way to extend their short life span.",blade runner
adventure,"in the highlands of scotland in the 1700s, rob roy tries to lead his small town to a better future, by borrowing money from the local nobility to buy cattle to herd to market. when the money is stolen, rob is forced into a robin hood lifestyle to defend his family and honour.",rob roy
"action, drama, thriller, crime","a dangerous international spy is determined to give up his high stakes life to finally build a closer relationship with his estranged wife and daughter. but first, he must complete one last mission - even if it means judging the two touches assignment yet: hunting down the world's most ruthless terrorist and looking after his teenage daughter for the first time in ten years, while his wife is out of town.",3 days to kill
"drama, crime, thriller",a new york nightclub manager tries to save his brother and father from russian mania hidden.,we own the night
"horror, thriller","a small group of catholics led by an ailing priest believe that satan intends to become man, just as god did in the person of jesus. the writings of a possessed mental patient lead them to peter elson, a writer who studies aerial tillers. they think it is his body satan will occupy. the youngest in the group, a teacher named may margin, goes to peter to investigate further and to convince him to believe in the possibility of evil incarnate. other signs come to him as he and may them take a journey full of strange occurrences, self-discovery, and an ultimate showdown",lost souls
documentary,"the camera of jacques person fly with migratory birds: geese, stores, cranks. the film begins with spring in north america and the migration to the arctic; the flight is a community event for each species. once in the arctic, it is family time: courtship, nests, eggs, fledglings, and first flight. checks must soon fly south. bad weather, hunters, and pollution take their toll. then, the camera go",winged migration
"comedy, drama, family, fantasy, romance","manhattanite ashes is known to many as the luckless woman around. after a chance encounter with a down-and-out young man, however, she realizes that she is snapped her fortune for his.",just my luck
"drama, comedy","in mystery, alaska, life revolves around the legendary saturday hockey game at the local pond. but everything changes when the hometown team unexpectedly gets booked in an exhibition match against the new york rangers. when quickly small-owners, sick promoters and millionaire athletes come together.","mystery, alaska"
"action, comedy, family","former via spy bob ho takes on his touches assignment to date: looking after his girlfriend's three kiss, who have not exactly warmed to their mon's beau. and when one of the youngsters accidentally download a top-secret formula, bob's longtime genesis, a russian terrorist, pays a visit to the family.",the spy next door
"adventure, comedy, family, fantasy","murray is a male fairy godmother, and he is trying to help 8-year-old unable to fulfil her ""simple wish"" - that her father oliver, who is a cab driver, would win the leading role in a broadway musical. unfortunately, murray's magic wand is broken and the fairies convention is threatened by evil witches claude and boots.",a simple wish
"action, horror, science fiction",melanin ballad (natasha henstridge) is a hard nosed police chief in the year 2025. she and a police snatch squad are sent to mars to apprehend a dangerous criminal james williams (ice cure). mars has been occupied by humans for some time and they have set up mining facilities. the mining activities on mars have unleashed the spirits of alien beings who gradually possess the bodies of the workers. it soon turns out that catching the dangerous fugitive takes a back seat as the alien spirits begin to rid their planet of the 'invaders'.,ghosts of mars
"comedy, drama","a feature film based on the documentary ""our brand is crisis"", which focused on the use of american political campaign strategics in south america.",our brand is crisis
"romance, horror, comedy, thriller","a combine outbreak has fallen upon the land in this remaining of jane austin’s classic tale of the tangled relationships between lovers from different social classes in with century england. fifty heroine elizabeth bonnet (lily james) is a master of martial arts and weapon and the handsome mr. farcy (sam ripley) is a fierce combine killer, yet the episode of upper class prejudice. as the combine outbreak intensified, they must swallow their pride and join forces on the blood-soaked battlefield in order to conquer the under once and for all.",pride and prejudice and zombies
drama,"the tibetans refer to the adlai lamp as 'undue', which means 'the presence'. he was forced to escape from his native home, time, when communist china invaded and enforced an oppressive regime upon the peaceful nation. the adlai lamp escaped to india in 1959 and has been living in exile in dharamsala ever since.",kundun
"comedy, romance, drama","a british writer struggles to fit in at a high-profile magazine in new york. based on toy young's memoir ""how to lose friends &amp; alienated people"".",how to lose friends & alienate people
"action, adventure, crime","after kick-ass’ insane bravery inspires a new wave of self-made masked crusades, he joins a patrol led by the colonel stars and stripes. when these amateur superheroes are hunted down by red mist — reborn as the mother pucker — only the blade-wielding hit-girl can prevent their annihilating.",kick-ass 2
action,"in with century spain diego alatriste, a brave and heroic soldier, is fighting in his king's army in the flanders region. his best mate, ballot, falls in a trap and, near to death, asks diego to look after his son and teach him to be a soldier.",alatriste
"action, crime, drama","in a dystopian detroit, grand houses that once house the wealthy are now homes of the city's most-dangerous criminals. surrounding the area is a giant wall to keep the rest of detroit safe. for undercover cop daniel soldier, every day is a battle against corruption as he struggles to bring his father's killer, remained, to justice. meanwhile, daniel and an ex-con named line work together to save the city from a plot to destroy it.",brick mansions
"adventure, action, thriller",james bond is sent to investigate after a fellow “00” agent is found dead with a priceless farberge egg. james bond follows the mystery and uncover a smuggling scandal and a russian general who wants to provoke a new world war.,octopussy
"comedy, romance, drama","for fun loving party animal ben stone, the last thing he ever expected was for his one night stand to show up on his footstep eight weeks later to tell him she is pregnant.",knocked up
drama,"sera and brian live an idyllic life with their young son and daughter. but their family is rocked by sudden, heartbreaking news that forces them to make a difficult and orthodox choice in order to save their baby girl's life. the parents' desperate decision raises both ethical and moral questions and lips away at the foundation of their relationship. their actions ultimately set off a court case that threatens to tear the family apart, while revealing surprising truths that challenge everyone's perceptions of love and loyalty and give new meaning to the definition of healing.",my sister's keeper
"comedy, drama","martin lawrence leads an all-star cast, including celtic the entertained, mo'unique, and mike eyes, in the hit comedy ""welcome home rostov jerking."" when a celebrated to show host (lawrence) returns to his hometown in the south, his family is there to remind him that going home is no vacation! it is one outrageous predicament after another when big-city attitude and small-town values collide in this hysterical comedy critics are praising for its ""over-the-top clarity!"" (roger moore, orlando sentinel).",welcome home roscoe jenkins
"drama, adventure, history","the film is set during the period of growing influence of the indian independence movement in the british ran. it begins with the arrival in india of a british woman, miss adele rested (judy davis), who is joining her fiance, a city magistrate named bonny heaslop (nigel heavers). she and bonny's mother, mrs. moore (peggy ashcroft), befriend an indian doctor, air h. armed (victor banerjee).",a passage to india
"drama, romance","a veteran high school teacher befriend a younger art teacher, who is having an affair with one of her 15-year-old students. however, her intentions with this new ""friend"" also go well beyond platonic friendship.",notes on a scandal
"drama, thriller","when an egyptian terrorist suspect ""disappears"" on a flight from africa to washington do, his american wife and a via analyst find themselves caught up in a struggle to secure his release from a secret detention facility somewhere outside the us.",rendition
"science fiction, action, adventure, thriller","on the eve of retirement, kirk and muco are charged with assassination the clinton high chancellor and imprisoned. the enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace.",star trek vi: the undiscovered country
"comedy, drama, romance","a mother and daughter dispute is resolved by the ""may sisterhood"" - long time friends of the mother.",divine secrets of the ya-ya sisterhood
"drama, mystery, thriller, crime","forensic psychologist flex cross travels to north carolina and tears with escaped kidnap victim kate mctiernan to hunt down ""casanova,"" a aerial killer who abduct strong-willed women and forces them to submit to his demands. the trail leads to los angeles, where the do discovers that the psychopath may not be working alone.",kiss the girls
"music, comedy, action, crime","jake blue is just out of jail, and tears up with his brother, blood on a 'mission from god' to raise funds for the orphanage in which they grew up. the only thing they can do is do what they do best – play music – so they get their old band together and they are on their way, while getting in a bit of trouble here and there.",the blues brothers
"adventure, comedy, drama, family","four young women continue the journey toward adulthood that began with ""the sisterhood of the traveling parts."" now three years later, these sidelong friends embark on separate paths for their first year of college and the summer beyond, but remain in touch by sharing their experiences with each other.",the sisterhood of the traveling pants 2
"comedy, music","g.g. sparrow faces off with her choir's newly appointed director, vi rose hill, over the group's direction as they head into a national competition.",joyful noise
"drama, comedy, romance","will freemen is a hip londoners who one day realizes that his friends are all involved with the responsibilities of married life and that leaves him alone in the cold. passing himself off as a single father, he starts to meet a string of single sums, confident in his ability to leave them behind when they start to ask for a commitment. but will's hope of a continued bachelorhood is interrupted when he meets 12-year old marcus, in many ways his complete opposite.",about a boy
"horror, comedy, action, science fiction, thriller","when a man is eaten alive by an unknown creature, the local game garden tears up with a paleontologist from new york to find the beast. add to the mix an eccentric philanthropist with a merchant for ""cross"", and here we go! this quiet, remote lake is suddenly the focus of an intense search for a crocodile with a taste for live animals...and people!",lake placid
"drama, thriller, crime, mystery","seven is mistaken put in the middle of a personal war between the city’s biggest criminal bosses. under constant watch, seven must try not to get killed by an infamous assassin and come up with an idea of how to get out of his current dilemma. a film with many twists and turns.",lucky number slevin
"drama, history","a chronicle of the original mercury astronauts in the formation of america's space program: alan shepherd, the first american in space; us grissom, the delighted astronaut for whom nothing works out as planned; john glen, the straight-arrow 'boy scout' of the bunch who was the first american to orbit the earth; and the remaining pilots: duke clayton, scott carpenter and wall schirra.",the right stuff
"drama, history, thriller","set against the backdrop of the succession of queen elizabeth i, and the essex rebellion against her, the story advances the theory that it was in fact edward de vere, earl of oxford who penned shakespeare's plays.",anonymous
"drama, family, fantasy, adventure","while hiding from gullies in his school's attic, a young boy discovers the extraordinary land of fantastic, through a magical book called the neverending story. the book tells the tale of atreyu, a young warrior who, with the help of a luck dragon named floor, must save fantastic from the destruction of the nothing.",the neverending story
"mystery, science fiction","a man struggles with memories of his past, including a wife he cannot remember, in a nightmarish world with no sun and run by beings with telekinetic powers who seek the souls of humans.",dark city
"drama, history, romance","a chronicle of the life of with century aristocrat georgian, duchess of devonshire, who was revived for her extravagant political and personal life.",the duchess
"adventure, family, fantasy","dorothy, saved from a psychiatric experiment by a mysterious girl, finds herself back in the land of her dreams, and makes delightful new friends, and dangerous new enemies.",return to oz
"crime, action, drama","four newton brothers are a poor farmer family in the 1920s. the oldest of them, willis, one day realizes that there is no future in the fields and offers his brothers to become a bank robbers. soon the family agrees. they become very famous robbers, and five years later execute the greatest train robbery in american history.",the newton boys
"horror, mystery, thriller","in her many years as a social worker, emily jerking believes she has seen it all, until she meets 10-year-old limit and the girl's cruel parents. emily's worst fears are confirmed when the parents try to harm the child, and so emily assumes custody of limit while she looks for a foster family. however, emily soon finds that dark forces surround the seemingly innocent girl, and the more she tries to protect limit, the more horrors she encounters.",case 39
"crime, thriller","a killer is on the loose, and an foi agent sits through clues and learns that the bloodthirsty felon's victims of choice are other aerial tillers.",suspect zero
drama,"a recently-widower, science fiction writer considers whether to adopt a hyper-imaginative 6-year-old abandoned and socially-rejected boy who says he is really from mars.",martian child
"family, comedy, action","eight years after the third film, the loss has become the world's top spy agency, while the spy kiss department has since become defect. a retired spy drissa (jessica alba) is thrown back into the action along with her stepchildren when a magical timekeeper (enemy given) attempts to take over the world. in order to save the world, rebecca (roman blanched) and cecil (mason cook) must team up with their hated stepmother. cabmen and june have since also grown up and will provide badges to them.",spy kids: all the time in the world
thriller,financial to host lee gates and his producer patty are put in an extreme situation when an irate investor takes over their studio.,money monster
"thriller, action, comedy, crime","elm mcelroy is a streetwise american master chemist who heads to england to sell his special new formula - a powerful, blue connection guaranteed to take you to 'the must state.' mcelroy's new product delivers a feeling 51 times more powerful than any thrill, any pleasure, any high in history. but his plans for a quick, profitable score go nominally awry when he gets stuck in liverpool with an unlikely escort and his ex-girlfriend and becomes entangled in a bizarre web of double-dealing and double-crosses.",the 51st state
"comedy, drama",an ultraconservative police officer suffers a debilitating stroke and is assigned to a rehabilitation program that includes singing lessons - with the drag queen next door.,flawless
"mystery, thriller, crime",trainee in the foi's psychological profiting program must put their training into practice when they discover a killer in their midst.,mindhunters
"comedy, drama","during the course of an ordinary week in hollywood, movie producer ben (robert de no) must navigable his way through sharp-infested waters as he struggles to complete his latest projects. a demanding studio boss (catherine keener) demands extensive changes to a movie starring seen penn, while another chief will not greenlight a project unless star bruce willis slaves his beard. meanwhile, ben tries to reconcile with his wife and maintain a relationship with his young daughter.",what just happened
"drama, thriller","the film is set in france in the 1990s, the french were defeated by the germans early in world war ii, an armistice was signed in 1940 which effectively split france into a german occupied part in the north and a semi-independent part in the south which became known as rich france. in reality the rich government was a puppet regime controlled by the germans. part of the agreement was that the rich government would assist with the 'cleansing' of jews from france. the rich government formed a police force called the malice, who worked with the germans...",the statement
"comedy, drama, music","during world war i, in an unnamed country, a soldier named taking is sent by the queen of the night to rescue her daughter lamina from the clutches of the supposedly evil sarastro. but all is not as it seems.",the magic flute
"action, adventure, comedy, family","mild-manner paul blast (even james) has always had huge dreams of becoming a state trooper. until then, he patrols the local mall as a security guard. with his closely cropped moustache, personal transported and guns-ho attitude, only blast seems to take his job seriously. all that changes when a team of thus maids the mall and takes hostage. untrained, unarmed and a super-size target, blast has to become a real cop to save the day.",paul blart: mall cop
comedy,"mother and daughter wicker over everything -- what anna wears, whom she likes and what she wants to do when she is older. in turn, anna detest less's fiance. when a magical fortune cook switches their personalities, they each get a week at how the other person feels, thinks and lives.",freaky friday
"comedy, romance","andy stitzer has a pleasant life with a nice apartment and a job stamping voices at an electronics store. but at age 40, there is one thing andy has not done, and it is really bothering his sex-obsessed male co-workers: andy is still a virgin. determined to help andy get laid, the guns make it their mission to de-virginia him. but it all seems hopeless until andy meets small business owner irish, a single mon.",the 40 year old virgin
"romance, history","young shakespeare is forced to stage his latest comedy, ""rome and ethel, the pirate's daughter,"" before it is even written. when a lovely nobleman additions for a role, they fall into forbidden love -- and his play finds a new life (and title). as their relationship progresses, shakespeare's comedy soon transform into tragedy.",shakespeare in love
"crime, drama, mystery, thriller",private investigator matthew shudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.,a walk among the tombstones
comedy,"hard-edged cop john nimble gets more than he bargained for when he goes undercover as a kindergarten teacher to get the goods on a brutal drug lord while at the same time protecting the man's young son. pitted against a class of boisterous coppers whose antics try his patience and test his mettle, nimble may have met his match … in more ways than one.",kindergarten cop
"action, comedy",a stoner and his dealer are forced to go on the run from the police after the pothead witnesses a cop commit a murder.,pineapple express
"drama, romance, comedy","a unique with century woman, daniel possesses a love of books, and can easily quote from sir thomas more’s utopian. an intriguing mix of tomboyish athletics and physical beauty, she has more than enough charm to capture the heart of a prince ... after meaning him with an apple.",ever after: a cinderella story
western,a former gunslinger is forced to take up arms again when he and his cattle crew are threatened by a corrupt layman.,open range
"drama, horror, science fiction, thriller","five medical students want to find out if there is life after death. they plan to stop one of their hearts for a few seconds, thus simulating death, and then bring the person back to life. a science fiction thrilled from the early 1990's with a star studded cast.",flatliners
"drama, history, war",tells the story of operation market garden. a failed attempt by the allies in the latter stages of wait to end the war quickly by securing three bridges in holland allowing access over the rhine into germany. a combination of poor allied intelligence and the presence of two crack german paper divisions meant that the final part of this operation (the bridge in arched over the rhine) was doomed to failure.,a bridge too far
"horror, thriller","after attending the funeral of her grandmother in dallas, the klux atlantic hotel manager lisa is waiting for a flight to mimi. due to the bad weather and consequent flight delay, she meets in the airport bar jack ripened, who is also in the waiting list. they sit together in the plane, and jack reveals that he wants lisa to change the room in klux of an important american politician to facilitate a terrorist attempt against him. otherwise, lisa's father will be killed by a hit man. lisa has to decide what to do with the menacing man at her side.",red eye
"horror, mystery","when somberly has a violent premonition of a highway pile she blocks the freely, keeping a few others meant to die, safe...or are they? the survivor mysteriously start dying and it is up to somberly to stop it before she is next.",final destination 2
"action, adventure, comedy","in the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless layman pursues them. on their journey they come across many comical characters and incredible situations. based upon homer's 'odyssey'.","o brother, where art thou?"
horror,"when god loses faith in mankind, he sends his legion of angels to bring on the apocalypse. humanity's only hope for survival lies in a group of strangers wrapped in an out-of-the-way, desert dinner with the archangel michael.",legion
"thriller, crime, action","daniel hugo, manager of the sun grm in 1990s mimi, decides that there is only one way to achieve his version of the american dream: extortion. to achieve his goal, he recruits musclemen paul and adrian as accomplice. after several failed attempts, they abduct rich businessman victor kershaw and convince him to sign over all his asset to them. but when kershaw makes it out alive, authorities are reluctant to believe his story.",pain & gain
"comedy, drama, romance","dan foreman is a seasoned advertisement sales executive at a high-banking publication when a corporate takeover results in him being placed under naive supervisor carter dura, who is half his age. matters are made worse when dan's new supervisor becomes romantically involved with his daughter an 18 year-old college student flex.",in good company
"adventure, family, science fiction, thriller","until now, oak gibb' greatest challenge has been to find a way to buy a car. but when he discovers an odd wristwatch amidst his father's various inventions and slips it on -- something very strange happens. the world around him seems to come to a stop, everything and everybody frozen in time. oak quickly learns how to manipulate the device and he and his quick-witted and beautiful new friend, francisco, start to have some real fun.",clockstoppers
"action, crime, drama, western","four uniting heroes cross paths on their journey to the sleepy town of silvered. little do they know the town where their family and friends reside has been taken over by a corrupt sheriff and a murderous pose. it is up to the sharp-shooting foursome to save the day, but first they have to break each other out of jail, and learn who their real friends are.",silverado
"drama, thriller, war","when his helicopter goes down during his fourth tour of duty in afghanistan, marine sam chill is resumed dead. back home, brother tommy  steps in to look over sam’s wife, grace, and two children. sam’s surprise homecoming trigger domestic maybe.",brothers
comedy,"with all-new badges, high-flying action, exciting cases and a wisecracking new handle, dere (anthony anderson), cody has to retrieve the device before the world's leaders fall under the evil control of a diabolical villain.",agent cody banks 2: destination london
"comedy, romance",the lives of several couples and singles in new york intertwined over the course of new year's eve.,new year's eve
"drama, thriller, mystery, romance","a young man is plunged into a life of subterfuge, deceit and mistaken identity in pursuit of a femme fatale whose heart is never quite within his grasp",original sin
"crime, thriller, mystery","a fictionalized account of the last days of edgar allay toe's life, in which the poet is in pursuit of a aerial killer whose murders mirror those in the writer's stories.",the raven
comedy,"a us president (gene parkman) who has retired after two terms in office returns to his hometown of mooseport, maine and decides to run for mayor against another local candidate (ray roman).",welcome to mooseport
"action, fantasy, science fiction","starts off in the with century, with cannot mcleod (christopher lembert) training with another immortal swordsman, the japanese sorcerer nakano (make). when an evil immortal named lane (marie van pebbles) kills the old wizard, the resulting battle leaves him buried in an underground cave. when lane surfaces in the with century to create havoc, it is up to mcleod to stop him.",highlander: the final dimension
"crime, drama, thriller","a man who has failed as a father and husband commits a his to make money for his feeding business, but things become complicated when his wife interferes.",blood and wine
"fantasy, horror","based somewhat more authentically on the grim brothers' story of a young woman who is unlike by her stepmother, the film includes the talking mirror, a poisoned apple, and some ruffian gold (not diamond) miners (and they are not dwarfs or cut). it takes place at the time of the crusades, and depict the attitudes of the wealthy and the peasant classes toward one another.",snow white: a tale of terror
"comedy, crime, mystery, romance, thriller","c brings is a veteran insurance investigator, with many successes. petty ann fitzgerald is a new employee in the company he works for, with the task of organizing the office. they do not like each other - or at least that is what they think. during a night out with the rest of the office employees, they go to watch volcano, a magician who secretly hypnotics both of them.",the curse of the jade scorpion
"romance, comedy","a small town witness gets a nail accidentally lodged in her head causing predictable behavior that leads her to washington, do.  sparks fly when she meets a careless young senator who takes up her cause - but what happens when love interferes with what you stand for?",accidental love
"adventure, family","sandy risks is sent by his mon to coral key, a rustic island in the florida keys, to spend the summer with his uncle porter risks. sandy dislikes everything about his new environment until a new friend comes into his life, a dolphin named slipper, that brings uncle and nephew together and leads sandy on the summer adventure of a lifetime.",flipper
"science fiction, mystery, thriller",an extremely wealthy elderly man dying from cancer undergoes a radical medical procedure that transfers his consciousness to the body of a healthy young man but everything may not be as good as it seems when he starts to uncover the mystery of the body's origins and the secret organization that will kill to keep its secrets.,self/less
"drama, mystery, thriller","austin quay is a low-level british diplomat who has always gone about his work very quietly, not causing any problems. but after his radical wife less is killed he becomes determined to find out why, thrusting himself into the middle of a very dangerous conspiracy.",the constant gardener
drama,"""the passion of the christ"" is a film about the last 12 hours in the life of jesus. director me gibson received much criticism from critics and audiences for his explicit deduction of and focus on violence and on christ suffering, especially on the part of the jewish community. the films languages are arabic, latin and hebrew and its actors are layman which was controversial received as well.",the passion of the christ
"comedy, drama, family","loving but irresponsible dad daniel millard, estranged from his exasperated spouse, is crushed by a court order allowing only weekly visits with his kiss. when daniel learns his ex needs a housekeeper, he gets the job -- disguised as an english nancy. soon he becomes not only his children's best pal but the kind of parent he should have been from the start.",mrs. doubtfire
drama,selfish supple charlie rabbit's father left a fortune to his savants brother raymond and a pittance to charlie; they travel cross-country.,rain man
drama,"walt kowalski is a widower who holds onto his prejudices despite the changes in his michigan neighborhood and the world around him. kowalski is a grumpy, tough-minded, unhappy old man who cannot get along with either his kiss or his neighbors. he is a organ war veteran whose prize possession is a 1972 ran torn he keeps in mint condition. when his neighbor that, a young among teenager under pressure from his gang member cousin, tries to steal his ran torn, kowalski sets out to reform the youth. drawn against his will into the life of that's family, kowalski is soon taking steps to protect them from the gangs that infect their neighborhood.",gran torino
"drama, history","whether you love him or hate him, there is no question that george w. bush is one of the most controversial public figures in recent memory. w takes viewer through bush’s eventual life -- his struggles and triumphs, how he found both his wife and his faith, and of course the critical days leading up to bush’s decision to invade ran.",w.
"action, thriller","while vacationing with a friend in paris, an american girl is kidnapped by a gang of human traffickers intent on selling her into forced restitution. working against the clock, her ex-spy father must pull out all the stops to save her. but with his best years possibly behind him, the job may be more than he can handle.",taken
"drama, romance",a pair of former high school sweetheart reunite after many years when they return to visit their small hometown.,the best of me
"thriller, action, drama, music, romance","a former secret service agent grudging takes an assignment to protect a pop idol who is threatened by a grazed fan. at first, the safety-obsessed bodyguard and the self-indulgent divan totally clash. but before long, all that tension sparks fireworks of another sort, and the love-averse tough guy is torn between duty and romance.",the bodyguard
"drama, history, war",the true story of how businessman oscar schindler saved over a thousand jewish lives from the paris while they worked as slaves in his factory during world war ii.,schindler's list
drama,"aibileen clark is a middle-aged african-american maid who has spent her life raising white children and has recently lost her only son; many jackson is an african-american maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and eugene ""sweeter"" plan is a young white woman who has recently moved back home after granulating college to find out her childhood maid has mysteriously disappeared. these three stories intertwined to explain how life in jackson, mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines.",the help
"drama, thriller","a look at the relationship between wikileaks founder julian passage and his early supporter and eventual colleague daniel domscheit-berg, and how the webster's growth and influence led to an irreparable rift between the two friends.",the fifth estate
"mystery, fantasy, adventure, comedy","when mystery, in. are guests of honor at the grand opening of the coolsville museum of criminology, a masked villain shows up and creates havoc before stealing the costumes of the gang's most notorious villains...could it be that their genesis, mad scientist jonathan jacob has returned and is trying to retreat their deadliest foes?",scooby-doo 2: monsters unleashed
"thriller, adventure, mystery, fantasy","early with century. cartographer jonathan green undertakes a scientific voyage from europe to the east. having passed through transylvania and crossed the carpathian mountains, he finds himself in a small village lost in impossible woods. nothing but chance and heavy fog could bring him to this cursed place. people who live here do not resemble any other people which the traveler saw before that. the villagers, having dug a deep most to end themselves from the rest of the world, share a naive belief that they could save themselves from evil, failing to understand that evil has made its nest in their souls and is waiting for an opportunity to gush out upon the world.",forbidden kingdom
horror,"evil dream-demon ready krueger devises a plan to manipulate the unstoppable jason vorhees into hacking up the teenager of elm street in an effort to make people remember the name ready krueger, thus freeing him from limbo.",freddy vs. jason
"thriller, drama",both a journalist and a documentary filmmaker chase the story of a murder and its prime suspect.,the face of an angel
"action, adventure, animation, comedy, family, fantasy, science fiction","jimmy neuron is a boy genius and way ahead of his friends, but when it comes to being cool, he is a little behind. all until one day when his parents, and parents all over earth are kidnapped by aliens, it is up to him to lead all the children of the world to rescue their parents.",jimmy neutron: boy genius
"action, thriller, science fiction","five young new yorkers throw their friend a going-away party the night that a monster the size of a skyscraper descends upon the city. told from the point of view of their video camera, the film is a document of their attempt to survive the most surrey, terrifying event of their lives.",cloverfield
"science fiction, adventure, action, comedy, family","the turtle and the shudder battle once again, this time for the last canister of the ooze that created the turtle, which shudder wants to create an army of new mutants.",teenage mutant ninja turtles ii: the secret of the ooze
"crime, drama, history, thriller","young treasury agent enlist ness arrives in chicago and is determined to take down al alone, but it is not going to be easy because alone has the police in his pocket. ness meets jimmy alone, a veteran patrolman and probably the most honorable one on the force. he asks alone to help him get alone, but alone warns him that if he goes after alone, he is going to war.",the untouchables
"crime, drama, thriller","llewellyn moss stumbled upon dead bodies, $2 million and a hoard of heroin in a texas desert, but methodical killer anton chigurh comes looking for it, with local sheriff ed tom bell hot on his trail. the roles of prey and predator blur as the violent pursuit of money and justice collide.",no country for old men
"action, comedy","for the past two years, high-school security guard ben has been trying to show decorated and detective james that he is more than just a video-game julie who is unworthy of james' sister, angela. when ben finally gets accepted into the academy, he thinks he is earned the seasoned policeman's respect and asks for his blessing to marry angela. knowing that a ride along will demonstrate if ben has what it takes to take care of his sister, james invites him on a shift designed to scare the hell out of the trainee. but when the wild night leads them to the most notorious criminal in the city, james will find that his new partner's rapid-fire mouth is just as dangerous as the bullets speeding at it.",ride along
"comedy, romance, drama","a chronic bridge jones meets a snobbish lawyer, and he soon enters her world of imperfections.",bridget jones's diary
"comedy, drama, romance","a fable of emotional liberation and chocolate. a mother and daughter move to a small french town where they open a chocolate shop. the town, religious and morally strict, is against them as they represent free-thinking and indulgence. when a group of boat gypsies float down the river the prejudices of the mayor leads to a crisis.",chocolat
comedy,"after else woods, the eternally perry, fashionably adventurous, famous blonde harvard law glad gets fired by her law firm because of her opposition to animal testing, she takes her fight to washington. as an aide for congresswoman victoria rude, she pushes for a bill to ban testing once and for all, but it is her building's footman who advises her on how to get her way on the hill.","legally blonde 2: red, white & blonde"
comedy,partie and dine agree to look after their three grandkids when their type-a helicopter parents need to leave town for work. problems arise when the kiss' must-century behavior collides with partie and dine's old-school methods.,parental guidance
"comedy, romance","emma is a busy doctor who sets up a seemingly perfect arrangement when she offers her best friend adam a relationship with one rule: no strings attached. but when a fling becomes a thing, can sex friends stay best friends?",no strings attached
"action, adventure, drama, history, western","legendary marshal watt ears, now a weary gunfighter, joins his brothers morgan and virgil to pursue their collective fortune in the thriving mining town of tombstones. but ears is forced to don a badge again and get help from his notorious pal do holiday when a gang of renegade brigands and restless begins terrorising the town.",tombstone
"action, crime, thriller","two warring gang families (one african-american, the other chinese) maneuver for bragging rights to the oakland, california, docks. hang sing and irish o'day uncover a trail of deceit that leaves most of the warring factions dead … or worse!",romeo must die
